step,households,treasury,gini_assets,gini_income,poverty_rate,means_tested_poverty_rate,unemployment_rate,labor_participation,avg_wage,avg_assets,ubi_spending,targeted_spending,false_positive_spending,false_negative_amount,false_negative_count,tax_revenue,deficit,single_young,couple_with_children,elderly,disabled,policy
0,220,500000.0,0.29960339148035775,0.0,1.0,0.9818181818181818,1.0,0.8546511627906976,0.0,6349.359962838694,0.0,0.0,0.0,0.0,0,0.0,0.0,84,63,47,26,no_welfare
1,219,543368.7451891985,0.2839347974968547,0.4635361831405216,0.7031963470319634,0.684931506849315,0.033783783783783786,0.8554913294797688,1172.2729631532031,6125.472677631133,0.0,0.0,0.0,0.0,0,43368.745189198184,-43368.745189198184,84,64,45,26,no_welfare
2,219,615111.5133652635,0.2729268851859574,0.504830019284592,0.730593607305936,0.7031963470319634,0.10810810810810811,0.8554913294797688,1194.4464949767823,5938.395608232141,0.0,0.0,0.0,0.0,0,71742.76817606497,-71742.76817606497,83,65,45,26,no_welfare
3,219,685344.5460996884,0.2633113154623685,0.5012903531678146,0.7579908675799086,0.7168949771689498,0.0945945945945946,0.8554913294797688,1158.9286020521984,5719.68709929492,0.0,0.0,0.0,0.0,0,70233.03273442516,-70233.03273442516,80,68,45,26,no_welfare
4,218,769506.1250002071,0.2570482450340452,0.462918010346429,0.7385321100917431,0.7110091743119266,0.0,0.8554913294797688,1212.2047651099726,5539.678907227258,0.0,0.0,0.0,0.0,0,84161.5789005187,-84161.5789005187,78,70,44,26,no_welfare
5,220,857500.5217827405,0.2547940656907257,0.44227764150534643,0.7454545454545455,0.7181818181818181,0.02666666666666667,0.8522727272727273,1198.9722997624062,5314.7473822779075,0.0,0.0,0.0,0.0,0,87994.39678253386,-87994.39678253386,76,74,43,27,no_welfare
6,220,941847.2299099428,0.2503431510486851,0.45831660548431397,0.7318181818181818,0.7227272727272728,0.006622516556291391,0.8531073446327684,1130.4444997430721,5024.7326810429295,0.0,0.0,0.0,0.0,0,84346.70812720283,-84346.70812720283,76,75,42,27,no_welfare
7,217,1040160.5588577433,0.24825535263782061,0.45192205525450513,0.7142857142857143,0.7050691244239631,0.0,0.8531073446327684,1251.5086487804722,4857.420591577537,0.0,0.0,0.0,0.0,0,98313.32894780059,-98313.32894780059,75,76,39,27,no_welfare
8,214,1124019.7601760984,0.252780953689721,0.4437114799336681,0.7476635514018691,0.7336448598130841,0.07894736842105263,0.8587570621468926,1189.1571021733662,4589.888541970258,0.0,0.0,0.0,0.0,0,83859.20131835654,-83859.20131835654,74,78,35,27,no_welfare
9,216,1202001.6175882649,0.25246262852959966,0.4530486133953835,0.7731481481481481,0.7407407407407407,0.11038961038961038,0.8603351955307262,1191.367468424366,4329.277557453692,0.0,0.0,0.0,0.0,0,77981.85741216873,-77981.85741216873,74,80,35,27,no_welfare
10,213,1273308.5562774043,0.25363699088705727,0.5248484780484213,0.8028169014084507,0.7793427230046949,0.19480519480519481,0.8603351955307262,1226.9567706676205,4109.717880914542,0.0,0.0,0.0,0.0,0,71306.93868913977,-71306.93868913977,70,84,32,27,no_welfare
11,213,1351253.8441561204,0.25656364517751573,0.48244730950663417,0.7934272300469484,0.7887323943661971,0.11688311688311688,0.8603351955307262,1214.9106059049352,3882.8283460853495,0.0,0.0,0.0,0.0,0,77945.28787871716,-77945.28787871716,65,89,32,27,no_welfare
12,216,1447159.8367515735,0.24906943809567883,0.4733573964601876,0.7916666666666666,0.7870370370370371,0.08280254777070063,0.8579234972677595,1260.990143885569,3689.0943020989384,0.0,0.0,0.0,0.0,0,95905.9925954542,-95905.9925954542,61,96,31,28,no_welfare
13,216,1523224.052422791,0.24359169038062856,0.5136283888897644,0.8287037037037037,0.8148148148148148,0.20382165605095542,0.8579234972677595,1186.3436963884023,3391.741676737122,0.0,0.0,0.0,0.0,0,76064.21567121815,-76064.21567121815,61,96,31,28,no_welfare
14,218,1590308.4349895143,0.23888961330566083,0.5671647943350271,0.8394495412844036,0.8302752293577982,0.29559748427672955,0.8594594594594595,1218.2532985700775,3036.9549010236246,0.0,0.0,0.0,0.0,0,67084.38256672476,-67084.38256672476,63,96,31,28,no_welfare
