step,households,treasury,gini_assets,gini_income,poverty_rate,means_tested_poverty_rate,unemployment_rate,labor_participation,avg_wage,avg_assets,ubi_spending,targeted_spending,false_positive_spending,false_negative_amount,false_negative_count,inherited_assets_received,debt_writeoff_spending,tax_revenue,deficit,single_young,couple_with_children,elderly,disabled
0,220,500000.0,0.29960339148035775,0.0,1.0,0.8363636363636363,1.0,0.8936170212765957,0.0,6349.359962838694,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,84,63,47,26
1,219,502595.8726445958,0.28566625629891695,0.47689080317782273,0.4337899543378995,0.2831050228310502,0.23333333333333334,0.8898305084745762,1533.9497709315644,6402.750531686818,28300.0,18990.0,120.0,540.0,5,0.0,0.0,49885.87264459576,-2595.872644595758,82,64,46,27
2,218,544463.0100472711,0.27968828498076936,0.5111589982778586,0.4954128440366973,0.3577981651376147,0.3051643192488263,0.8875,1608.8582663719712,6440.306464607467,28300.0,20460.0,240.0,480.0,5,0.0,0.0,90627.13740267557,-41867.137402675566,80,65,45,28
3,217,579191.305291722,0.27256361706698695,0.49305396316758987,0.46543778801843316,0.35023041474654376,0.31627906976744186,0.8884297520661157,1447.6514898356636,6454.43391808422,28600.0,21810.0,360.0,1290.0,10,0.0,0.0,85138.29524445103,-34728.29524445103,79,66,44,28
4,217,609601.9384018427,0.267954778743531,0.5082509227172605,0.5069124423963134,0.4009216589861751,0.37327188940092165,0.889344262295082,1445.3586332679818,6414.498109682487,28700.0,23130.0,330.0,1230.0,8,0.0,0.0,82240.63311012022,-30410.633110120223,77,68,44,28
5,217,696669.2264887899,0.26270574911338973,0.48193761064081064,0.3824884792626728,0.2764976958525346,0.1085972850678733,0.8911290322580645,1854.0562181118928,6543.327212218421,28900.0,15780.0,390.0,810.0,8,0.0,0.0,131747.2880869463,-87067.2880869463,74,71,44,28
6,216,752439.3338870247,0.26274862268435406,0.5038587219779023,0.46296296296296297,0.36574074074074076,0.2577777777777778,0.8928571428571429,1639.9091777273102,6600.152865317716,29300.0,18300.0,30.0,1980.0,13,0.0,0.0,103370.10739823517,-55770.107398235166,71,74,43,28
7,216,836292.7673119637,0.25999216703616557,0.477311123778283,0.39814814814814814,0.3055555555555556,0.17256637168141592,0.889763779527559,1791.96927193818,6701.728610343178,29600.0,18540.0,270.0,690.0,8,0.0,0.0,131993.43342493832,-83853.43342493832,68,76,43,29
8,217,903501.912231052,0.26018240113201063,0.48897039256491825,0.42857142857142855,0.35944700460829493,0.19911504424778761,0.8932806324110671,1716.4948092691131,6730.366627575375,29800.0,19890.0,240.0,540.0,4,0.0,0.0,116899.14491908839,-67209.14491908839,69,76,43,29
9,216,970460.6835510143,0.26389485617306807,0.4758923767734431,0.4027777777777778,0.33796296296296297,0.20175438596491227,0.8941176470588236,1689.1323976415174,6829.488530572975,29800.0,19470.0,60.0,630.0,2,0.0,0.0,116228.77131996282,-66958.77131996282,67,78,42,29
10,217,1051149.3902991158,0.26416946782206874,0.47993311288824536,0.3778801843317972,0.3087557603686636,0.15021459227467812,0.8961538461538462,1808.2293539669226,6936.249441117867,29900.0,18450.0,630.0,540.0,5,0.0,0.0,129038.70674810116,-80688.70674810116,67,79,42,29
11,218,1108825.6348022285,0.26800341935463323,0.48834953512993096,0.44954128440366975,0.41284403669724773,0.28270042194092826,0.8943396226415095,1670.9158829930548,6931.081756175425,30400.0,20130.0,0.0,1830.0,11,0.0,0.0,108206.24450311332,-57676.244503113325,62,84,42,30
12,215,1195696.9015741812,0.2729060627358959,0.47205483687489025,0.386046511627907,0.3488372093023256,0.13692946058091288,0.895910780669145,1949.1656939832496,7148.715765726232,30900.0,17070.0,90.0,1290.0,10,0.0,0.0,134841.26677195297,-86871.26677195297,59,87,39,30
13,215,1255416.752942255,0.2726273928306533,0.4786591831529743,0.4046511627906977,0.39069767441860465,0.23045267489711935,0.8933823529411765,1695.4579941133907,7197.249889253128,31000.0,21390.0,300.0,1260.0,7,0.0,0.0,112109.85136807401,-59719.851368074014,58,87,39,31
14,215,1318589.01619244,0.2731742665799166,0.4976531959780175,0.4372093023255814,0.4046511627906977,0.2757201646090535,0.8868613138686131,1787.3655713974483,7240.260911902988,31300.0,20640.0,90.0,1350.0,7,0.0,0.0,115112.26325018532,-63172.26325018532,56,89,39,31
15,215,1364204.1197538178,0.27235006639884185,0.5052885498112403,0.4697674418604651,0.40930232558139534,0.29918032786885246,0.8872727272727273,1664.19070176277,7243.363359640677,31500.0,23790.0,630.0,1020.0,7,0.0,0.0,100905.1035613758,-45615.1035613758,55,90,39,31
