policy,seed,steps,households,gini_assets,gini_income,poverty_rate,means_tested_poverty_rate,unemployment_rate,labor_participation,avg_wage,treasury,avg_deficit_last20,tax_revenue,ubi_spending,targeted_spending,false_positive_spending,false_negative_amount
No welfare,21,80,242.0,0.59087533981989,0.5024617555408661,0.38016528925619836,0.34710743801652894,0.2506811989100817,0.8635294117647059,1855.4587306721774,13187831.008079614,-184867.9044231695,189367.9044231695,0.0,0.0,0.0,0.0
No welfare,22,80,223.0,0.5892412604921256,0.4845775121912068,0.4080717488789238,0.37668161434977576,0.24293785310734464,0.8613138686131386,1738.0864709792108,11032920.100275394,-149473.44835062986,156973.44835062986,0.0,0.0,0.0,0.0
No welfare,23,80,237.0,0.606646275736753,0.49527820777952436,0.37130801687763715,0.34177215189873417,0.21203438395415472,0.8725,2074.0876195061032,11711540.010390898,-170760.3224901243,175260.3224901243,0.0,0.0,0.0,0.0
No welfare,24,80,238.0,0.6008631836425375,0.46756257087379516,0.3067226890756303,0.2815126050420168,0.15151515151515152,0.8875305623471883,2017.9596555056296,12629115.445635172,-170977.68310310884,175977.68310310884,0.0,0.0,0.0,0.0
No welfare,25,80,241.0,0.638675027849215,0.5319439920345947,0.43983402489626555,0.4149377593360996,0.2571428571428571,0.8663366336633663,1570.6165855985475,9610788.491870375,-137867.90115618688,141867.90115618688,0.0,0.0,0.0,0.0
No welfare,26,80,240.0,0.6079305870702014,0.5067465718360609,0.37916666666666665,0.3625,0.23976608187134502,0.8280871670702179,1825.4917845551086,10808419.016363284,-163563.92784603738,168063.92784603738,0.0,0.0,0.0,0.0
No welfare,27,80,242.0,0.6068326117651206,0.47095489668504276,0.28512396694214875,0.256198347107438,0.0755813953488372,0.8730964467005076,2297.3997211342025,12490922.92664995,-168349.62120247397,172349.62120247397,0.0,0.0,0.0,0.0
No welfare,28,80,234.0,0.6668974070340765,0.5239548671653689,0.36324786324786323,0.33760683760683763,0.04794520547945205,0.8248587570621468,2086.923247166777,10361481.559478978,-132983.76008910564,139983.76008910566,0.0,0.0,0.0,0.0
No welfare,29,80,242.0,0.697381187273133,0.5122319534182755,0.4462809917355372,0.4297520661157025,0.22872340425531915,0.8683602771362586,1687.7843192789328,9707992.450576348,-136843.4891408708,139343.4891408708,0.0,0.0,0.0,0.0
No welfare,30,80,242.0,0.638928648869983,0.5098112610904566,0.3760330578512397,0.34297520661157027,0.1566265060240964,0.8713910761154856,2097.60570864449,11544140.039773239,-153716.00499487945,158216.00499487945,0.0,0.0,0.0,0.0
No welfare,31,80,236.0,0.6612648886599979,0.5133216092477602,0.3728813559322034,0.3432203389830508,0.19117647058823528,0.8585858585858586,1955.0181927513986,11674082.213642672,-150458.74074330012,154958.74074330012,0.0,0.0,0.0,0.0
No welfare,32,80,242.0,0.6150058032143069,0.5047213121419434,0.30991735537190085,0.30578512396694213,0.15151515151515152,0.8940886699507389,2223.209346239146,12556949.82654723,-185964.71279093937,191464.71279093937,0.0,0.0,0.0,0.0
No welfare,33,80,239.0,0.6386356897772811,0.5054329798653305,0.3807531380753138,0.3514644351464435,0.21875,0.8564476885644768,1712.9213925129789,10905819.698559618,-148993.31039009482,152493.31039009482,0.0,0.0,0.0,0.0
No welfare,34,80,237.0,0.5824801562709816,0.568184388394984,0.540084388185654,0.5189873417721519,0.34017595307917886,0.8766066838046273,1490.5112914258918,10769650.203574004,-141582.28785016655,146582.28785016655,0.0,0.0,0.0,0.0
No welfare,35,80,240.0,0.6337077471014856,0.5798439655912115,0.4875,0.45,0.3235294117647059,0.8478802992518704,1734.7850290624826,10598021.027694777,-154324.72944082358,158824.72944082358,0.0,0.0,0.0,0.0
No welfare,36,80,242.0,0.6899513084631876,0.5639420215752893,0.5413223140495868,0.512396694214876,0.3817663817663818,0.8200934579439252,1468.782394124063,11104978.240071712,-151754.96994103392,154754.96994103392,0.0,0.0,0.0,0.0
No welfare,37,80,242.0,0.6288793203187311,0.5349828537582784,0.40082644628099173,0.3760330578512397,0.29411764705882354,0.854066985645933,1776.9164937947587,11779384.880755989,-167016.76042619438,171262.82262744676,0.0,0.0,0.0,0.0
No welfare,38,80,235.0,0.6073489982584666,0.5388429111351529,0.4723404255319149,0.4297872340425532,0.3264705882352941,0.8651399491094147,1466.0173600434841,10563448.501734735,-132617.2279948743,138117.22799487432,0.0,0.0,0.0,0.0
No welfare,39,80,235.0,0.6260496532934605,0.5433192130357867,0.3829787234042553,0.33617021276595743,0.14563106796116504,0.8489010989010989,2156.2553322977815,11024576.35793827,-143062.69680637863,147036.5823322417,0.0,0.0,0.0,0.0
No welfare,40,80,240.0,0.5940150716044117,0.5391044632809787,0.44166666666666665,0.4125,0.2837465564738292,0.8789346246973365,1816.7754595118197,11711090.52067403,-179626.24904439243,185626.24904439243,0.0,0.0,0.0,0.0
UBI only,21,80,241.0,0.5333690935141713,0.4903144001786077,0.4107883817427386,0.3817427385892116,0.37228260869565216,0.8598130841121495,1740.8669531282321,9312289.881893123,-135143.4860504187,183468.4860504187,44825.0,0.0,0.0,0.0
UBI only,22,80,236.0,0.5357953410310854,0.48231364146360556,0.3940677966101695,0.3983050847457627,0.314540059347181,0.8403990024937655,1668.4253809404165,7432471.064743444,-91482.7593437155,140780.51562034144,42825.0,0.0,0.0,0.0
UBI only,23,80,239.0,0.5453350806438144,0.4335815525529194,0.3263598326359833,0.32217573221757323,0.24786324786324787,0.8666666666666667,1763.8495022848058,8160158.176638462,-114586.23134099312,165029.87587820107,43975.0,0.0,0.0,0.0
